Job Role,Required Skill
Advocate,Legal Research
Advocate,Litigation
Advocate,Case Management
Advocate,Drafting
Advocate,Client Counseling
Arts,Creativity
Arts,Drawing
Arts,Painting
Arts,Sculpture
Arts,Art History
Automation Testing,Selenium
Automation Testing,Python
Automation Testing,TestNG
Automation Testing,JUnit
Automation Testing,CI/CD
Blockchain,Solidity
Blockchain,Ethereum
Blockchain,Smart Contracts
Blockchain,Web3
Blockchain,Cryptography
Business Analyst,Excel
Business Analyst,SQL
Business Analyst,Requirement Gathering
Business Analyst,JIRA
Business Analyst,Data Visualization
Civil Engineer,AutoCAD
Civil Engineer,Structural Analysis
Civil Engineer,Project Management
Civil Engineer,Surveying
Civil Engineer,Construction Planning
Data Science,Python
Data Science,SQL
Data Science,Machine Learning
Data Science,Statistics
Data Science,Pandas
Database,SQL
Database,Oracle
Database,MySQL
Database,DBMS
Database,Normalization
DevOps Engineer,Docker
DevOps Engineer,Kubernetes
DevOps Engineer,Jenkins
DevOps Engineer,CI/CD
DevOps Engineer,Linux
DotNet Developer,C#
DotNet Developer,.NET
DotNet Developer,ASP.NET
DotNet Developer,SQL Server
DotNet Developer,MVC
ETL Developer,Informatica
ETL Developer,SSIS
ETL Developer,SQL
ETL Developer,Data Warehousing
ETL Developer,ETL Mapping
Electrical Engineering,Circuit Design
Electrical Engineering,Power Systems
Electrical Engineering,MATLAB
Electrical Engineering,Embedded Systems
Electrical Engineering,Control Systems
HR,Recruitment
HR,Payroll
HR,Onboarding
HR,HRMS
HR,Compliance
Hadoop,HDFS
Hadoop,MapReduce
Hadoop,Hive
Hadoop,Pig
Hadoop,Spark
Health and fitness,Nutrition
Health and fitness,Exercise
Health and fitness,Wellness
Health and fitness,Personal Training
Health and fitness,Health Assessment
Java Developer,Java
Java Developer,Spring
Java Developer,Hibernate
Java Developer,Maven
Java Developer,JSP
Mechanical Engineer,SolidWorks
Mechanical Engineer,AutoCAD
Mechanical Engineer,Thermodynamics
Mechanical Engineer,CAD
Mechanical Engineer,CAM
Network Security Engineer,Firewalls
Network Security Engineer,IDS/IPS
Network Security Engineer,Network Protocols
Network Security Engineer,Encryption
Network Security Engineer,Security Auditing
Operations Manager,Process Improvement
Operations Manager,Team Management
Operations Manager,Budgeting
Operations Manager,Scheduling
Operations Manager,KPI Tracking
PMO,Project Management
PMO,Reporting
PMO,MS Project
PMO,Risk Management
PMO,Governance
Python Developer,Python
Python Developer,Flask
Python Developer,Django
Python Developer,APIs
Python Developer,Pandas
SAP Developer,SAP ABAP
SAP Developer,SAP FICO
SAP Developer,SAP MM
SAP Developer,BAPI
SAP Developer,RFC
Sales,CRM
Sales,Lead Generation
Sales,Negotiation
Sales,Client Communication
Sales,Target Achievement
Testing,Manual Testing
Testing,Automation Testing
Testing,Bug Tracking
Testing,Test Cases
Testing,JIRA
Web Designing,HTML
Web Designing,CSS
Web Designing,JavaScript
Web Designing,Responsive Design
Web Designing,UX/UI
