Year,Current Course,Technical Skill,Programming Languages,Rating(technical and programming),Projects,Career Interest,Challenges,Support-required,Student-Linguistic,Musical,Bodily,Logical - Mathematical,Spatial-Visualization,Interpersonal,Intrapersonal,Naturalist,Soft Skills,Rating(soft skills),Score,Recommended Job
4th,B.Tech CSE,IoT Applications,Java Kotlin Swift,3,No,Cloud Architect,Lack of resources,Mentorship programs,18,11,13,19,16,11,16,17,Conflict Resolution Team Leadership,4,135,AI Engineer
3rd,B.Tech IT,Data Engineering,PHP JavaScript MySQL,5,No,Data Scientist,Presentation skills,Internships,15,12,19,19,16,8,11,20,Strategic Thinking Analytical Skills,4,138,AI Engineer
4th,B.Tech IT,Cloud Infrastructure,Julia Python R,2,Yes,Cloud Architect,Interview anxiety,Peer groups,16,20,19,20,9,17,12,12,Emotional Intelligence Active Listening,3,135,Data Scientist
3rd,B.Tech IT,Full Stack Development,Python Java C++,4,Yes,Software Engineer,Lack of resources,Peer groups,10,14,9,10,18,13,16,7,Decision-Making Flexibility Innovation,3,111,Cybersecurity Analyst
3rd,MCA,Computer Vision,Python R SQL,4,No,Data Scientist,Interview anxiety,Workshops,18,19,14,10,14,10,19,12,Emotional Intelligence Active Listening,4,132,AI Engineer
3rd,MCA,Embedded Systems,Java Kotlin Swift,4,Yes,Software Engineer,Interview anxiety,Online resources,20,17,7,18,10,14,13,17,Leadership Creativity Critical-Thinking,5,134,Data Scientist
4th,M.Sc Data Science,Computer Vision,Python Java C++,3,Yes,Cloud Architect,Time management,Internships,19,10,8,20,19,12,18,20,Emotional Intelligence Active Listening,2,136,Cloud Architect
1st,B.Tech IT,Mobile App Development,PHP JavaScript MySQL,1,No,Data Scientist,Interview anxiety,Peer groups,12,16,20,18,9,12,17,16,Leadership Creativity Critical-Thinking,1,124,Software Engineer
4th,B.Tech CSE,Full Stack Development,Python Go Rust,5,No,Cybersecurity Analyst,Team collaboration,Internships,20,6,14,14,20,15,13,18,Leadership Creativity Critical-Thinking,4,138,Data Scientist
2nd,MBA,Computer Vision,PHP JavaScript MySQL,2,No,Data Scientist,Presentation skills,Online resources,17,12,9,16,19,15,13,17,Communication Adaptability Problem-Solving,5,132,Data Scientist
3rd,B.Tech CSE,Penetration Testing,C# .NET SQL,3,Yes,AI Engineer,Procrastination,Workshops,14,9,12,10,10,13,18,8,Presentation Skills Public Speaking,2,104,Business Analyst
1st,B.Tech IT,Network Security,C# .NET SQL,1,Yes,AI Engineer,Lack of resources,Internships,20,13,8,10,16,20,16,19,Decision-Making Flexibility Innovation,3,130,Cloud Architect
3rd,B.Sc Computer Science,Cloud Security,JavaScript TypeScript Python,1,Yes,Cloud Architect,Interview anxiety,Workshops,9,14,10,15,12,8,15,13,Conflict Resolution Team Leadership,5,108,Cybersecurity Analyst
1st,B.Sc Computer Science,Full Stack Development,PHP JavaScript MySQL,3,Yes,Cloud Architect,Team collaboration,Online resources,17,16,8,18,14,19,10,19,Strategic Thinking Analytical Skills,3,133,Data Scientist
4th,B.Tech IT,Embedded Systems,PHP JavaScript MySQL,3,No,Business Analyst,Team collaboration,Mentorship programs,18,17,14,12,10,15,17,15,Communication Adaptability Problem-Solving,3,130,Cloud Architect
1st,B.Tech CSE,Embedded Systems,Scala Java Python,3,No,Data Scientist,Lack of resources,Mentorship programs,13,20,18,12,17,19,15,16,Leadership Creativity Critical-Thinking,5,146,Data Scientist
2nd,MCA,Deep Learning,Python Go Rust,5,Yes,Software Engineer,Team collaboration,Workshops,15,10,14,20,13,17,19,5,Conflict Resolution Team Leadership,1,125,Cybersecurity Analyst
2nd,MCA,Blockchain Development,PHP JavaScript MySQL,4,Yes,Software Engineer,Lack of resources,Mentorship programs,20,15,6,11,10,11,20,12,Emotional Intelligence Active Listening,3,119,Software Engineer
2nd,MCA,Data Visualization,Python Java C++,1,Yes,Cybersecurity Analyst,Presentation skills,Internships,18,7,20,19,8,8,18,8,Collaboration Empathy Teamwork,4,116,Cybersecurity Analyst
1st,MBA,Data Engineering,Julia Python R,4,No,AI Engineer,Time management,Mentorship programs,16,18,7,15,18,11,18,15,Emotional Intelligence Active Listening,5,136,Cloud Architect
2nd,MBA,Deep Learning,R SAS Python,2,No,Cloud Architect,Lack of resources,Peer groups,19,9,13,11,16,11,14,14,Emotional Intelligence Active Listening,4,119,Software Engineer
1st,B.Sc Computer Science,Cloud Security,Python Go Rust,3,Yes,Data Scientist,Presentation skills,Peer groups,12,16,5,12,16,11,18,16,Strategic Thinking Analytical Skills,2,116,Software Engineer
3rd,B.Sc Computer Science,Computer Vision,Julia Python R,1,No,Business Analyst,Procrastination,Peer groups,19,11,13,15,18,15,17,20,Conflict Resolution Team Leadership,1,132,Cloud Architect
2nd,M.Sc Data Science,Network Security,JavaScript TypeScript Python,5,No,Cybersecurity Analyst,Presentation skills,Peer groups,16,18,13,19,15,10,11,9,Leadership Creativity Critical-Thinking,3,127,AI Engineer
2nd,MCA,Data Visualization,Python Go Rust,5,Yes,Cloud Architect,Lack of resources,Peer groups,15,5,17,15,17,17,15,16,Emotional Intelligence Active Listening,4,135,Cloud Architect
2nd,MBA,Embedded Systems,Python Java C++,1,Yes,Data Scientist,Procrastination,Peer groups,20,10,17,18,12,9,14,19,Time-Management Resilience Negotiation,2,125,Software Engineer
4th,M.Sc Data Science,Full Stack Development,Python Go Rust,1,Yes,Cloud Architect,Team collaboration,Internships,19,15,15,10,19,10,19,9,Presentation Skills Public Speaking,5,128,Data Scientist
4th,MCA,Full Stack Development,JavaScript TypeScript Python,3,No,Cybersecurity Analyst,Presentation skills,Mentorship programs,19,10,13,18,12,18,20,5,Leadership Creativity Critical-Thinking,1,123,Software Engineer
4th,B.Tech CSE,Cloud Security,JavaScript TypeScript Python,1,Yes,Business Analyst,Team collaboration,Internships,13,17,11,16,11,16,16,10,Collaboration Empathy Teamwork,5,122,Software Engineer
1st,B.Tech IT,Full Stack Development,JavaScript TypeScript Python,1,Yes,Software Engineer,Procrastination,Online resources,18,11,5,14,8,20,11,19,Emotional Intelligence Active Listening,3,114,Software Engineer
1st,B.Tech IT,Full Stack Development,MATLAB Python C,4,Yes,Cybersecurity Analyst,Time management,Mentorship programs,13,15,16,13,12,16,17,19,Decision-Making Flexibility Innovation,3,135,Data Scientist
3rd,B.Tech IT,Business Intelligence,Julia Python R,5,Yes,Cybersecurity Analyst,Team collaboration,Mentorship programs,16,10,16,12,14,19,14,7,Communication Adaptability Problem-Solving,1,120,Cybersecurity Analyst
4th,M.Sc Data Science,Deep Learning,Julia Python R,2,No,AI Engineer,Lack of resources,Online resources,18,6,17,12,18,20,11,18,Leadership Creativity Critical-Thinking,3,130,Data Scientist
3rd,MBA,Embedded Systems,Scala Java Python,4,No,Business Analyst,Presentation skills,Mentorship programs,17,10,11,14,9,20,15,13,Communication Adaptability Problem-Solving,2,121,Software Engineer
2nd,M.Sc Data Science,Full Stack Development,R SAS Python,4,No,Cybersecurity Analyst,Presentation skills,Mentorship programs,8,6,18,14,10,17,20,14,Strategic Thinking Analytical Skills,2,119,Software Engineer
4th,M.Sc Data Science,Data Visualization,Python R SQL,5,No,Data Scientist,Procrastination,Online resources,14,16,17,16,14,12,10,13,Communication Adaptability Problem-Solving,3,128,Data Scientist
1st,B.Tech CSE,Penetration Testing,Python Java C++,1,No,Cybersecurity Analyst,Presentation skills,Workshops,8,19,10,16,11,18,19,19,Strategic Thinking Analytical Skills,1,124,Software Engineer
2nd,B.Sc Computer Science,Network Security,MATLAB Python C,3,Yes,Cybersecurity Analyst,Presentation skills,Workshops,17,14,5,20,9,9,10,8,Decision-Making Flexibility Innovation,2,102,Business Analyst
3rd,MCA,Computer Vision,Julia Python R,3,No,Cybersecurity Analyst,Lack of resources,Workshops,11,16,13,15,20,11,19,10,Time-Management Resilience Negotiation,3,127,AI Engineer
1st,B.Tech CSE,AI Fundamentals,C# .NET SQL,3,No,Software Engineer,Time management,Internships,8,10,16,15,9,12,10,13,Communication Adaptability Problem-Solving,2,103,Business Analyst
3rd,B.Tech CSE,DevOps,JavaScript TypeScript Python,1,No,Software Engineer,Procrastination,Peer groups,8,19,15,20,12,13,14,8,Presentation Skills Public Speaking,3,117,Software Engineer
3rd,B.Tech CSE,Data Visualization,Python Java C++,2,Yes,Data Scientist,Time management,Workshops,19,17,18,14,15,18,18,12,Presentation Skills Public Speaking,1,137,Cloud Architect
4th,B.Sc Computer Science,DevOps,PHP JavaScript MySQL,3,No,AI Engineer,Team collaboration,Peer groups,14,18,18,17,11,11,14,16,Decision-Making Flexibility Innovation,2,129,AI Engineer
4th,M.Sc Data Science,Data Visualization,C# .NET SQL,3,Yes,Cloud Architect,Team collaboration,Workshops,14,11,8,17,14,17,15,5,Decision-Making Flexibility Innovation,3,113,Software Engineer
